,0
Basmat,2091
Basmat(Kurunda),3968
Bassi,8194
Bassi Pathana,1618
Bassi Pathana((Nanadpur Kalour),8065
Bastar,4087
Basti,688
Baswant,171
Batala,233
Bathinda,629
Batingoo,8034
Batlagundu(Uzhavar Sandhai ),10168
Batote,2519
Bavla,1396
Baxirhat,4331
Baxirhat,3935
Bayad,812
Bayad(Demai),3012
Bayad(Sadamba),3013
Bayana,1528
Bazar Atriya ,4049
Bazpur,1116
Beawar,649
Becharaji,1688
Bededonger,4092
Bedia,10051
Beed,583
Beenjhwaila,8441
Begamganj,2450
Begu,1567
Begusarai,24
Behal,1991
Behloor Kalan,8056
Behram,8347
Behrampur Bodla,8177
Behror,8107
Bela,8040
Belacoba,2922
Belarbahara,4033
Belargaon,4032
Beldanga,3635
Belgaum,109
Belgaum(Herebhagevadi),4116
Bellampally,8007
Bellary,111
Belora,4029
Beltara,4054
Belthangdi,747
Belur,765
Bemetara,2404
Bemetara(Darhi),4769
Bemetara(Navagarh),4768
Bemetara(Thankhamaria),4767
Benipatti,10024
Benipir,10012
Beohari,2727
Berachha,3050
Berasia,1130
Beri,4360
Berla,4044
Bermo,2053
Bethuadahari,363
Betnoti,1677
Bettiah,805
Betul,555
Bewar,2559
Bhabhar,1717
Bhadara,1537
Bhadaur,1754
Bhadaur(Sehna),3820
Bhadesar,8199
Bhadoti,8146
Bhadrachalam,390
Bhadrak,211
Bhadravathi,783
Bhadrawati,2113
Bhadson,1609
Bhagalpur,25
Bhagepalli,3870
Bhagta Bhai Ka,1732
Bhagta Bhai Ka (Jalal),4422
Bhagta Bhai Ka (Kalyansukha),4411
Bhagta Bhai Ka(Kotha Guru Ka),2892
Bhagwanpur Mandi,10025
Bhagwanpur(Naveen Mandi Sthal),4330
Bhagyoday Cotton and Agri Market ,10109
Bhaini Mian Khan,8236
Bhainsa,882
Bhaisa,4004
Bhaisma,4069
Bhakhara,4026
Bhalki,732
Bhandara,1351
Bhander,3052
Bhanjanagar,1664
Bhanpura,3934
Bhanupratappur,4108
Bhanvad,3005
Bharamgarh,4110
Bharatpur,259
Bharatpur(Kumer),3148
Bharthna,1915
Bharuasumerpur,1970
Bharuch,57
Bharwari,1941
Bhatapara,426
Bhatgaon,2746
Bhatiya,2684
Bhattu Kalan,2007
Bhavani,3530
Bhavarpur,4019
Bhavnagar,455
Bhawani Mandi,1553
Bhawani Mandi(Choumehla),3158
Bhawani Mandi(Raipur),3164
Bhawanigarh,251
Bhawanigarh (Rampura),4418
Bhawanipatna,218
Bhawanipur,10028
Bheemkhoj,4015
Bheemunipatnam,2334
Bheenmal(Ranlwada),3166
Bhehjoi,1961
Bhendri,4030
Bhensdehi,3069
Bhesan,2673
Bhikangaon,2422
Bhikhi,1601
Bhikhiwind,1571
Bhikhiwind (Algo),4410
Bhikhiwind (Basarke),4412
Bhikhiwind (Marrimegha),4427
Bhikhiwind (Sursingh),4431
Bhikhiwind(Khalra),2881
Bhiknoor,2784
Bhiloda,1694
Bhilwara,261
Bhimadole,885
Bhimavaram,884
"Bhimavaram,RBZ",3560
Bhimunipatnam,883
Bhind,556
Bhind(F&amp;V),3890
Bhindran,8046
Bhindsar,8198
Bhinmal,1548
Bhitarwar,8315
Bhivandi,1427
Bhiwani,476
Bhiwani(Bawani Khera),2821
Bhiwapur,1504
Bhiya,8135
Bhode Saprai,8343
Bhogpur,1590
Bhokar,587
Bhokardan,584
Bhokardan(Pimpalgaon Renu),2500
Bhongir,886
"Bhongir,RBZ",3596
Bhoom,2137
Bhootgarh,8225
Bhopal,180
Bhopal(F&amp;V),181
Bhopalpattnam,2773
Bhor,2077
Bhoring,4013
Bhotna,8251
Bhowali(Naveen Mandi Sthal),4327
Bhucho,1574
Bhuhana,8118
Bhuj,463
Bhulath,1593
Bhulath (Ibrahimaaaaval),4415
Bhulath (Nadala),4406
Bhuna,2008
Bhundan,8267
Bhuntar,495
Bhurkoni,4022
Bhusaval,1438
Bhusawar,8094
Bhuvanagiri,4395
Biaora,1834
Bichhiya,2742
Bichkunda,2785
Bidar,112
Bigod,8092
Bigod,8093
Bihariganj,1771
Biharsharif,412
Bihiya,10008
Bihpur,10006
Bihta,413
Bijapur,113
Bijapur,2772
Bijapur(Basavanabhage Vadi),4121
Bijawar,8318
Bijay Nagar,1523
Bijnaur,1191
Bijolia,2857
Bikaner (Grain),652
Bikaner(F&amp;V),1779
Bikaner(Wool Mandi),8203
Bilagi,3973
Bilara,1549
Bilaspur,1990
Bilaspur,432
Bilaspur,488
Bilga,1743
Bilga (Talwan ),4407
Bilha,4052
Bilimora,1200
Bilimora(Gandevi),3036
Billsadda,3450
Biloli,2136
Bilsi,1965
Bina,2426
Binaganj,2705
Bindki,1923
Binjbayla,8167
"Binny Mill (F&amp;V), Bangalore",108
Biokhora,8210
Biranpur kalan (Sahaspur Lohra),4770
Biraul,1659
Birbhum,699
Birewala Dogra,8085
Birkur,8042
Birmaharajpur,1683
Birpur,1645
Birra,4068
Bisau,8438
Bishalgarh,312
Bishenpur,609
Bishnah,8035
Bishnupur,2644
Bishnupur(Bankura),835
Bishramganj,8211
Boath,887
Bobbili,888
Bodeli,454
Bodeli(Hadod),2980
Bodeli(Kalediya),2979
Bodeli(Modasar),3431
Bodhan,15
Bodinayakanur(Uzhavar Sandhai ),10244
Bodinayakkanur,3706
Bodwad,1439
Bodwad(Varangaon),2479
Boha,2889
Bohorihat,407
Bokaro (Chas),505
Bolangir,621
Bolangir(Patnagarh),3126
Boli,8145
Bolpur,350
Bomdila,1863
Bonai,3120
Bongiagaon,1879
Boothapadi,296
Boraee,4031
Bori,4765
Bori Arab,2103
Borsad,1410
Borsad(Asodar),2652
Borsad(Veg Yard Barsad),3001
Botad,1146
Botad(Bhabarkot),2970
Botad(Haddad),3427
Boudh,1665
Bowenpally,2046
Boxonagar,8212
Brahmpur,10011
Brahmpuri,1498
Broadway market,4390
BSK Krishi Bazar Private Ltd,10093
Budalada,641
Budalur,8291
Budgam,2631
Budhar,3805
Budhlada (Phaphre Bhaike),4442
Buland Shahr,673
Buldhana,2507
Buldhana(Dhad),2101
Bumhama-Kupwara (F&amp;V),499
Bundi,262
Burdwan,697
Burgampadu,889
Burgampadu,8022
Burhanpur,846
Burhanpur(F&amp;V),3879
Buxur,415
Byadagi,370
"C.Camp,RBZ",1237
Cachar,405
Canacona,841
Car Nicobar,4362
Ch. Dadri,1153
Chaakghat,3054
Chaandpur,1916
Chabhal,1725
Chadoora,2632
Chaibasa,844
Chail Chowk ,3839
Chak Alisher,8087
Chakdah,4345
Chakdah(Kalyani),3949
Chakia,1657
Chakrata,1840
Chaksu,1780
Chakulia,2056
Chakur,2126
Chala,3097
Chalakudy,2364
Chalisgaon,571
Challakere,742
Chamaraj Nagar,735
Chamba,487
Chamkaur Sahib,1611
Chamkaur Sahib (Bela),4414
Chamorshi,1819
Champa,2756
Champadanga,856
Champaknagar,1874
Champhai,612
Champua,1679
Chanarthal,1619
Chandabali,1684
Chandani Gram Sewa Sahkari Samiti  Limited ,10130
Chandausi,682
Chanderi,8205
Chandigarh (F&amp;V),44
Chandigarh(Grain/Fruit),43
Chandoli,1897
Chandrapur,605
Chandrapur,4064
Chandrapur(Ganjwad),2510
Chandur,890
Chandur Bazar,1478
Chandur Railway,2096
Chandur(Mungodu),2779
Chandvad,574
Chann Arorian,8281
Channagiri,749
Channapatana,718
Channarayapatna,525
Chansama,1397
Chanthroor,2163
Chanuchak,8271
Charama,2416
Charkhari,1971
Charla,1367
Charra,1930
Chathanoor,3074
Chatra,8220
Chatta Krushak Bazar,4258
Chaudna,8262
Chaurai,1390
Chavakkad,2366
Chavassery,8303
Chechat,2867
Cheeka,91
Cheema,1755
Cheema (Lonogal),4403
Chelakkara,2152
Chengalpattu,4158
Chengalpet(Uzhavar Sandhai ),10303
Chengam,3660
Chengam(Uzhavar Sandhai ),10273
Chengannur,2355
Chengeri,3528
Chennai,9010
Cherial,892
Cherthala,2358
Cherthdla,130
Chethupattu,297
Chevella,3643
Cheyyar,2814
Cheyyar(Uzhavar Sandhai ),10272
Chhabra,1554
Chhabra(Chhipabadod),3141
Chhachhrauli(Khizrabad),2843
Chhachrauli,1986
Chhajli,8254
Chhapiheda,2726
Chhapra,26
Chhatarpur,818
Chhati,4025
Chhibramau,323
Chhibramau(Kannuj),828
Chhinari,4095
Chhindwara,541
Chhindwara(F&amp;V),3902
Chhota Udaipur,56
Chhota Udepur(Tejgadh),2953
Chhpara,3065
Chhuria,2750
Chickkaballapura,770
Chidambaram,3681
Chidambaram(Uzhavar Sandhai ),10155
Chikali,597
Chikhali,458
Chikhli,4071
Chikkamagalore,737
Chikli(Khorgam),2984
Chilakaluripet,378
Chimur,1499
Chinch,8181
Chincholi,761
Chinnalapatti(Uzhavar Sandhai ),10166
Chinnamanur,3705
Chinnamanur(Uzhavar Sandhai ),10248
Chinnasalem,2790
Chinnoar,894
ChinSurah,367
Chintalapudi,896
Chintamani,771
Chintapally,895
Chipurupalli,891
Chirala,897
Chirgaon,1974
Chirwa,1558
Chitava,8136
Chithode,3531
Chitra,8376
Chitradurga,741
Chitradurga(Bheemasamudra),4113
Chittapur,535
Chittapura(Shahbad),4145
Chittoor,893
"Chittoor (MGH),RBZ",3576
Chittor(Rythu Bazar),4291
Chittorgarh,1568
Chitwadagaon,2614
Chityal,397
Chityal (Narket pally),8033
Chodavaram,899
Chogawan,1726
Chohtan,8429
Chokkikulam(Uzhavar Sandhai ),10191
Chomu,274
Chomu(F&amp;V),3146
Chone,8244
Chopada,572
Choppadandi,898
chorayashi,8390
Chorichora,2616
Choth ka barwara,8144
Choti Sadri,8197
"Chotial(Veg,Yard)",3030
Chotila,1714
"Chotila(Veg,Yard Chotila)",2992
Choubepur,2578
Choutuppal,1841
Chowmanu,3928
Chuda,8365
Chuliaposi,4255
Chura,4010
Churu,653
Chutmalpur,2543
Coimbatore,291
Coochbehar,353
Coonoor(Uzhavar Sandhai ),10207
Cottoncity Agro Foods Private Ltd,10110
"CSMLS Point, ,RBZ,Guntur",1226
Cuddalore,671
Cuddalore(Uzhavar Sandhai ),10154
Cuddapah,1
Cumbum,2817
Cumbum(AP),900
Curchorem,840
Dabhoi(Kayavarohan),3022
Dablirathan,8164
Daboi,1705
Dabra,186
Dabwali,100
Dabwali(Chautala),2841
Dachinpora,2522
Dadengiri,1168
Dadhi,8053
Dadri,1903
Dahanu,2071
Dahivadi,1458
Dahod,59
Dahod(Garbada),2949
Dahod(Himalaya),2951
Dahod(Jesavada),3209
Dahod(Veg. Market),2950
Dakala,1750
Dakor,8378
Dakshin Dinajpur,832
Dalelwala,8082
Daloda,8312
Daltenganj,843
Daman,45
Damana Hat,4259
Dammapet,901
Damnagar,1794
Damoh,565
Damoh(F&amp;V),3895
Danapur,411
Dand Brothers Agro ,10060
Dankaur,2541
Danta,2688
Dantiwada,8354
Daporijo,1867
Darbhanga,27
Darjeeling,4336
Darjeeling(Klimpong),3940
Darsi,379
Darwha,1486
Daryapur,1809
Dasada Patadi,1718
Dasda,1878
Daskroi,8364
Dasuya,1586
Dataganj,1967
Datia,566
Dau Majra,8048
Daunagar,10001
Dausa,267
Davangere,114
Davgadbaria(Piplod),3211
Dawki,3986
Dawrpuri,202
Dayapar,8349
Dediyapada,1416
Deedwana,285
Deedwana(Choti Khatu),3167
Deeg,1529
Deesa,51
Deesa(Bhildi),2962
Deesa(Deesa Veg Yard),3416
Degana,283
Deglur,588
Dehgam,1141
Dehgam(Dehgam Veg Yard),3034
Dehgam(Rekhiyal),3035
Dehradoon,320
Dehri,10031
DEI(Bundi),2865
Denduluru,3809
Denkanikottai,3749
Denkanikottai(Uzhavar Sandhai ),10188
Deogarh,1676
Deoghar,28
Deoli,1524
Deon,8336
Deori,1386
Deoulgaon Raja,1818
Dera Baba Nanak,1738
Dera Bassi,1751
Derol,1151
Derol(Adadara),2977
Derol(Vejalpur),3421
Desur,3663
Detroj,8362
Deulgaon Raja Balaji Agro Marketing Private Market,10091
Devadurga,4359
Devakottai,3743
Devakottai (Uzhavar Sandhai ),10233
Devala,2073
Devandranagar,2722
Devani,4757
Devarakadra,1366
Devarakonda,903
Devaram(Uzhavar Sandhai ),10246
Devariya,687
Devarkonda(Dindi),2781
Devarkonda(Mallepalli),2780
Devband,1957
Devbhog,4011
Devda,4089
Devgadhbaria,1412
Devri,4762
Dewas,182
Dewas(F&amp;V),3881
Dhadgaon,2384
Dhadhrian,8045
Dhamdha,4037
Dhammapet,2203
Dhamngaon-Railway,1810
Dhamnod,1125
Dhampur,2565
Dhamtari,183
Dhanaula,1756
Dhanbad,29
Dhand,2015
Dhandhuka,448
Dhandkuka(Dholera),2945
Dhandoi,8237
Dhanera,52
Dhanera(Samarwada),3417
"Dhanera(Veg,Yard Dhanera)",2964
Dhanora,4097
Dhanotu (Mandi),489
Dhanpur,8382
Dhansura,1693
Dhanula (Kaleke),4430
Dhanura,2569
Dhar,542
Dhar(F&amp;V),3874
Dhara,129
Dharamjaygarh,4076
Dharamkot,1602
Dharampur,494
Dharampur(veg),1421
Dharampuri,1626
Dharamshala,4471
Dharangaon,1440
Dharapuram,3532
Dharapuram(Uzhavar Sandhai ),10325
Dhari,2670
Dhari(Chalala),3037
Dhariwal,1584
Dhariyavad,8439
Dharmabad,1349
Dharmapuri,905
Dharmapuri(Uzhavar Sandhai ),10159
Dharmaram,904
Dharmavaram,386
Dharni,2097
Dharsul,2011
Dharwad(Alanawar),4130
Dharwar,115
Dhekiajuli,1881
Dhenkanal,1672
Dhilwan,1594
Dhing,404
Dhodha,8377
Dholka,1400
Dholka(Koth),3207
Dholka(Market Yard Veg),2995
Dholpur,651
Dhone,906
Dhoraji,1399
Dhoraji(Chattle Market Yard),2994
Dhorimanna,8430
Dhragradhra,2677
Dhrol,2683
Dhule,157
Dhupguri,356
Dhuri,248
"Diamond Harbour	",3944
Diamond Harbour(South 24-pgs),4340
"Dibbala Bazar,RBZ",1232
Dibiapur,1940
Dibrugarh,1883
Digapahandi,1774
Diglipur,4364
Digras,600
Dimapur,1868
Dinanagar,1582
Dindigul,1629
Dindigul(Uzhavar Sandhai ),10164
Dindori,1392
Dindori,1449
Dindori(Vani),2487
Ding,2038
Dinhata,852
Dirba,3837
Diu,46
Divai,1956
Divi,907
Diyodar,3419
Doddaballa Pur,513
Doharighat,2612
Dolvan,8402
Dondaicha,569
Dondaicha(Sindhkheda),2478
Dondi,4040
Dondilohara,4039
Dongargaon,2751
Dongargarh,2752
Dooni,8330
Doraha,1595
Doraha (Dhamot),4425
Doraha (Payal),4402
Doranpal,4109
Dornakal,908
Dound,1454
Dubbak,1365
Dudhani,3971
Dudhansadhan,645
Dudhawa,4103
Dudhi,1953
Dug,8433
Duggan,8261
Duggirala,1100
Dumal,3924
Dumarao,10010
Dumka,30
Dun,8120
Dungargarh,8201
Dungarpur,2855
Dungla,8185
Dungurapalli,212
Durg,428
Durgapur,3630
Dusi,3662
Dwaraka,8412
"Dwarakanagar,RBZ",3578
Dwarkanagar(Rythu Bazar),4292
East Shikkim,3517
Eathamozhi,4368
Edapadi (Uzhavar Sandhai ),10231
Edappadi,10050
Egra/contai,2645
Elampillai(Uzhavar Sandhai ),10228
Elevancheri,4384
Ellanabad,98
Elumathur,3544
Eluru,909
"Eluru(P.Sri.Mkt),RBZ",1218
"Eluru-II,RBZ",1220
Emani,910
English Bazar,358
Enkoor,2208
Enkoor,8029
Ernakulam,133
Erode,294
Erragadda(Rythu Bazar),4294
"Erragadda,RBZ",1254
Etah,678
Etawah,328
Ettumanoor,2360
"Excise Colony,RBZ",1239
Ezhamkulam,3073
F.G.Churian,1739
Faizabad,321
Falakata,4333
Falakata(Dhupguri),3937
"Falaknama,RBZ",1253
Faridabad,483
Faridabad,7777
Faridabad(Fish Market),4274
Faridkot,632
Faridkot (Kotsukhian),4426
Faridkot (Machakikalan),4432
Farukh Nagar,1998
Farukhabad,322
Fatehabad,81
Fatehabad,2550
Fatehgarh Panjtoor,4365
"Fatehkhanpet,RBZ",1234
Fatehnagar,1569
Fatehpur,825
Fatehpur,2853
Fatehpur Sikri,2555
Fazilka,229
Fazilka (Ladhuka),2888
Fefana,8160
Ferozepur Cantt(Jhok Harihar),3830
"Ferozepur Cantt, (Sadehasham)",4445
Ferozepur Cantt.,231
FerozpurZirkha(Nagina),2826
Firozabad,851
Firozepur City,634
"Fish,Poultry &amp; Egg Market, Gazipur",1797
"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",2941
"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",2940
"Flower Market,Gazipur",1795
"Fodder Market, Mangolpuri",1796
Forbesganj,1640
Fruit Market,2473
Fruits &amp; Vegetable(Kalsipalya),4112
Fruits &amp; Vegetable(Singena Agrahara),4111
Fulmbri,2084
Gabadkunda,3923
Gadada,2682
Gadag,753
Gadag(Hulakoti),4131
Gadag(Mulagund),4132
Gadarpur,1117
Gadarwada,2433
Gadaura,2618
Gaddiannaram,399
Gadhi Pratapur,8192
Gadhinglaj,1451
Gadhwah,504
Gadwal,7
Gadwal(Lezza),2775
Gaggarpur,8266
Gairatganj,2442
Gajanaan Krushi Bazar,10103
Gajanan Krushi Utpanna Bazar (India) Pvt Ltd ,10100
Gajapathinagaram,911
Gajol,3633
Gajsinghpur,1561
"Gajuwaka,RBZ,Visakhapatnam",1213
Gajwel,912
Galteshwer,8379
Gamhari,4099
Ganaur,2040
Gandacharra,3929
Gandai,2749
Gandarvakottai(Uzhavar Sandhai ),10215
Gandchiroli,606
Ganderbal,2630
Gandhari,914
"Gandhi Irvin Park(Tenali),RBZ",1228
Gandhinagar RBZ,3556
Gandhinagar(Board),3039
Gandhwani,3060
"Ganesh Chouk,Rajahmundry,RBZ",1215
Gangadhara,913
Gangakhed,1473
Gangapur,1468
Gangapur,2845
Gangapur City,286
Gangapurcity(Old Lal mandi),3143
Gangarampur,3942
Gangarampur(Dakshin Dinajpur),4338
Gangavalli,3696
Gangavathi,119
Gangavathi(Karatagi),4151
Gangoh,1929
Gangrar,8183
Gangtok,287
Ganjbasoda,198
Ganjdudwara,2561
Gannavaram,915
Garadipanchan,4261
Garbeta,3951
Garbeta(Medinipur),4347
Garh Shankar,1587
Garh Shankar(Mahalpur),3106
Garhakota,2462
GarhShankar (Kotfatuhi),4444
Garhshankar(Saila Khurd),2893
Gariyaband,2400
